Parameter Source Pipeline,Detection Pipeline(s),TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Luminosity,AB_Mag,Weight,Distance (pc)
spoc-s01-s36-b0A-PC,SPOC,382602147,2384.01,PC,36.156112,-64.999966,36.15614626,-65.00019569,13.294,0.018,2062.341695,0.000361128,2.135684441,2.71E-05,1.889336805,0.03227237,28827.49455,316.31122,"[28, 29]",2 stars in pixel; SG1 should clear the neighbor,,,1,0.666652024,0.0202807,11.49895841,0.37913576,799.5484484,3678.2,140.5,96.58287766,67.74752,2.81E+32,13.73625768,0.3,100
qlp-s50-faintsearch,QLP,422217860,5662.01,PC,191.0856058,5.6884346,191.0851715,5.688497928,11.871,0.007,2689.673073,0.0029698,2.3144207,1.77E-05,1.402,0.244,1720,5.15303,"[23, 46, 50]",found in faint-star QLP search,4.63,0.01,1,0.62,0.02,2.71343,0.175126,740,3687,157,49.7933,12,2.45E+32,12.31325768,0.3,100
spoc-s01-s46-b0A,SPOC,387690507,530.01,CP,103.4128,12.8818,103.4128333,12.88157837,13.447,0.04,2530.543507,0.00236408,6.387584167,7.49E-06,2.508530418,0.09716106,23725.31648,625.14154,"[6, 33, 44, 45]",TOI-530 b; now CP (Gan et al. 2021),4.78199,0.354944,1,0.544768989,0.0163464,8.434788946,0.3639357,495.6123551,3688,69,14.25901412,35.809254,1.89E+32,13.88925768,0.3,100
qlp-s57-tois,QLP,455784423,3629.01,CP,359.7923514,39.3142512,359.7933851,39.31425556,12.788,0.007,2878.618825,0.0009721,3.9365629,6.10E-06,2.19,0.384,15461,821.74,"[17, 57]",found in faint-star QLP search; TOI-3629 b,4.64,0.01,1,0.61,0.02,8.09927,0.333912,706,3689,157,41.2897,32,2.38E+32,13.23025768,0.3,100
spoc-s01-s46-b02,SPOC,458686847,5528.01,PC,133.8556837,10.46913989,133.8557342,10.46921764,12.7482,0.00730415,2230.014038,0.001328947,1.291597226,1.33E-05,1.154880535,0.38361242,1466.319907,181.21669,"[34, 44, 45, 46]",K2-117 b,4.72452,0.00883165,1,0.514744997,0.0154963,2.100621528,0.9796136,856.6943318,3689,157,127.2988779,8.947783,1.69E+32,13.19045768,0.3,100
spoc-s01-s36-b0A,SPOC,70797900,224.01,PC,1.9774,-29.979,1.977968745,-29.97960318,10.95,0.04,1365.843684,9.62E-05,705.5844658,4.24E-06,1.918921223,0.008591645,101204.846,610.19586,"[2, 29]","actual period likely shorter than 705.58 days; previous single now duotransit; TFOP APC; previously retired as  SB2 per TRES spectrum and J. Irwin analysis.	",4.78104,0.354228,1,0.486999989,0.074,17.17954701,2.6196158,515.743249,3689,66,16.72072904,261.3266,1.51E+32,11.39225768,0.3,100
qlp-s39-tois-FP,QLP,327210623,3313.01,PC,270.6569914,-37.4401734,270.6569681,-37.44020079,12.683,0.006,2384.957213,0.0049641,2.128423,2.03E-05,2.872,0.357,11080,3293.32,[13],found in faint-star QLP search; retired as TFOP FP/EB,,,1,,,,,1419,3689.6,317,674.806,12,0,13.12525768,0.3,100
qlp-s60-faintsearch,QLP,16550540,6384.01,PC,102.684571,40.8729752,102.6845955,40.87286479,14.394,0.009,2959.556369,0.0033691,2.4810218,0.0007191,1.541,0.244,24673,2343.92,[60],found in faint-star QLP search,4.65,0.01,1,0.6,0.02,8.87122,0.629245,715,3691,157,43.5124,15,2.30E+32,14.83625768,0.3,100
qlp-s60-ffi,QLP,318022259,1730.03,PC,107.8664288,48.33038926,107.865826,48.32793272,10.3595,0.00741359,2598.372283,0.0023637,12.5739572,0.0012622,2.722,0.298,2170,118.687,"[20, 47, 60]",close to 2:1 resonance with TOI 1730.01; potential L1 planet in a multi,4.70931,0.00914374,3,0.53,0.02,2.4359,0.11049,439,3691,157,6.20302,12,1.80E+32,10.80175768,0.3,100
qlp-s60-ffi,SPOC,318022259,1730.01,PC,107.8664288,48.33038926,107.865826,48.32793272,10.3595,0.00741359,2952.635271,0.0024431,6.2262315,2.77E-05,2.239,0.772,1488,1544.12,"[20, 47, 60]",potential multi,4.70931,0.00914374,1,0.53,0.02,2.75524,0.963981,910,3691,157,114.271,16,1.80E+32,10.80175768,0.3,100
qlp-s60-ffi,SPOC,318022259,1730.02,PC,107.8664288,48.33038926,107.865826,48.32793272,10.3595,0.00741359,2961.132517,0.0034359,2.1555232,9.20E-06,1.445,0.724,742,89.8839,"[20, 47, 60]",potential multi,4.70931,0.00914374,2,0.53,0.02,1.47809,0.113091,944,3691,157,132.347,12,1.80E+32,10.80175768,0.3,100
qlp-s52-tois,SPOC,229781583,1245.01,PC,283.5356465,69.63330099,283.5355298,69.63353378,12.1819,0.0073852,2764.329317,0.001816,4.8204512,1.22E-05,1.756,0.181,1930,1.49496,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 40, 41, 47, 48, 49, 50, 51, 52]",Potential L1 candidate,4.71598,0.00882482,1,0.52,0.02,2.36747,0.0993507,572,3692,157,17.8782,20,1.73E+32,12.62415768,0.3,100
qlp-s42-faintsearch,QLP,250111245,5293.01,PC,355.8287543,-2.0450962,355.828682,-2.045094525,13.977,0.006,2466.496662,0.0009681,2.9304371,0.0002822,1.73,0.087,50830,33.6627,[42],found in faint-star QLP search,4.77,,1,0.5,,11.8933,,662,3692,122,31.8905,21,1.60E+32,14.41925768,0.3,100
qlp-s47-faintsearch,QLP,459762279,5573.01,PC,136.4260273,55.3073762,136.4259999,55.30713086,13.628,0.008,2600.45002,0.0021554,8.7960328,0.0018184,2.48,0.198,23090,21.2797,[47],found in faint-star QLP search,4.66,0.01,1,0.59,0.02,9.14959,0.40797,475,3695,157,8.51849,22,2.24E+32,14.07025768,0.3,100
spoc-s01-s46-b02,SPOC,443616612,5523.02,KP,169.1171536,-3.975432384,169.117028,-3.975440506,13.7701,0.00740113,2281.409498,0.003714555,3.471142208,6.83E-05,2.501267049,0.33853266,6135.845837,653.32166,"[36, 45, 46]",K2-43 b,4.68275,0.0105474,2,0.563000023,0.0172668,4.835325257,0.5036786,636.7688497,3696,157,38.85511879,9.366374,2.04E+32,14.21235768,0.3,100
spoc-s01-s46-b02,SPOC,443616612,5523.01,PC,169.1171536,-3.975432384,169.117028,-3.975440506,13.7701,0.00740113,2533.35413,0.035387743,,,13.57236609,0.5206741,28182.02171,1393.9274,"[36, 45, 46]",single transit; exterior to K2-43 b and c,4.68275,0.0105474,1,0.563000023,0.0172668,9.503768367,0.45375916,292.1705354,3696,157,1.722132915,18.807981,2.04E+32,14.21235768,0.3,100
qlp-s48-tois,SPOC,417931300,2068.01,PC,186.2752859,60.41837222,186.27356,60.41834555,11.1806,0.00735493,2623.464158,0.0048826,7.768982,5.77E-05,2.181,0.327,1050,2.74014,"[14, 15, 21, 22, 41, 48]",potential L1 planet,4.70036,0.00945482,1,0.54,0.02,1.77405,0.111992,511,3700,157,11.3921,11,1.88E+32,11.62285768,0.3,100
spoc-s42-s43-b0A,SPOC/QLP,380887434,4527.01,PC,19.4718778,5.4739307,19.47225743,5.471199554,9.168,0.007,2474.200243,0.001356484,0.399444495,1.34E-05,0.802879642,0.19708219,330.8173737,26.466192,"[42, 43]",potential L1 planet; low MES; ultra short period,4.75,0.01,1,0.485947996,0.014338,0.908661736,0.95341295,1247.025019,3702,157,571.5071504,11.964,1.53E+32,9.610257675,0.3,100
spoc-s01-s36-b0A-PC,UNKNOWN,262530407,177.01,PC,20.4391,-46.7144,20.43842805,-46.71472339,9.438,0.016,1356.153228,0.000330121,2.853100811,4.93E-06,1.258662419,0.11815041,1587.242151,55.270573,"[2, 3, 29]",possible L1 planet,4.76229,0.061557,1,0.517786026,0.0155797,2.126615014,0.39055997,650.1856269,3703,66,42.23480179,26.2589,1.74E+32,9.880257675,0.3,100
spoc-s01-s36-b0A-PC,SPOC,271596225,797.02,PC,108.5617,-74.6025,108.5630862,-74.60309491,11.664,0.04,1327.41688,0.000960835,4.140002654,1.23E-05,1.052372693,0.4611399,739.6919659,77.91636,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",possible multi,4.77431,0.348429,2,0.473702013,0.0140887,1.297158116,2.0582793,552.6193628,3704,64,22.04070048,12.782942,1.46E+32,12.10625768,0.3,100
spoc-s01-s39-b0A-PC,SPOC,271596225,797.03,PC,108.5617,-74.6025,108.5630862,-74.60309491,11.664,0.04,1327.465968,0.001461278,2.730955128,1.30E-05,1.352982171,0.33808893,389.6489692,44.925613,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",near 3:2 resonance with TOI 797.01; low SNR; potential multi,4.77431,0.348429,3,0.473702013,0.0140887,1.042832847,0.4008926,634.8261131,3704,64,38.38310756,9.1960535,1.46E+32,12.10625768,0.3,100
spoc-s01-s39-b0A-PC,SPOC,271596225,797.01,PC,108.5617,-74.6025,108.5630862,-74.60309491,11.664,0.04,1326.817187,0.000561547,1.800806281,4.88E-06,1.126198555,0.23409514,691.1375032,42.48097,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",potential L1 planet; possible multi,4.77431,0.348429,1,0.473702013,0.0140887,1.286170222,0.750201,729.3522136,3704,64,66.87598987,19.244581,1.46E+32,12.10625768,0.3,100
spoc-s14-s55-b0A-PC,SPOC,154940895,4572.01,PC,210.0289845,88.61170779,210.0488705,88.61210313,11.9212,0.00736562,1822.701914,0.002760577,13.47554613,7.14E-05,2.276394766,0.70866597,1090.093441,124.59899,"[19, 20, 25, 26, 40, 47, 52, 53]",potential L1 planet; period updated to ~13.5 days with spoc-s14-s50 multisector,4.7642,0.0070109,1,0.469523996,0.0140048,1.571871907,1.375563,382.427399,3710,157,5.054951588,9.094992,1.44E+32,12.36345768,0.3,100
qlp-s48-faintsearch,QLP,252481136,5610.01,PC,156.0229932,48.2485685,156.0228153,48.24833064,14.869,0.008,2628.937156,0.0036588,7.9454767,0.0028259,1.493,0.271,36680,243.059,[48],found in faint-star QLP search,4.73,0.01,1,0.51,0.02,9.87351,0.929515,386,3714,157,3.70033,9,1.71E+32,15.31125768,0.3,100
spoc-s14-s55-b0A-PC,SPOC,198162530,5738.01,PC,243.907937,61.92636409,243.9065378,61.92690062,12.1898,0.0072841,1683.640443,0.000840472,0.768125006,9.17E-06,0.999206239,0.34847283,491.4350185,52.93853,"[14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 47, 48, 49, 50, 51, 52, 54, 55]",potential multi; possible SV; bump before transits; inconsistent centroids between sectors but average is on target,4.67682,0.0100691,1,0.569913983,0.0168518,1.304055617,1.5758286,1063.313016,3717,157,302.1102929,8.062698,2.14E+32,12.63205768,0.3,100
spoc-s14-s55-b0A-PC,SPOC,198162530,5738.02,PC,243.907937,61.92636409,243.9065378,61.92690062,12.1898,0.0072841,1693.593974,0.003231082,28.54620894,0.000158447,1.766666638,0.25406772,1744.465997,219.61098,"[14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 47, 48, 49, 50, 51, 52, 54, 55]",potential multi; low SNR,4.67682,0.0100691,2,0.569913983,0.0168518,2.854732249,0.30550912,318.6316783,3717,157,2.43599732,8.434045,2.14E+32,12.63205768,0.3,100
spoc-s01-s36-b0A-PC,UNKNOWN,54962195,663.02,PC,160.0665,-8.5107,160.0658525,-8.511082703,11.672,0.04,1543.404532,0.001673269,4.695567307,2.23E-05,1.938451296,0.34720367,2013.379938,192.99779,"[9, 35]",low SNR,4.76941,0.347691,2,0.51236099,0.0152398,2.415079132,0.6120697,552.5052054,3719,64,22.02249388,10.363942,1.73E+32,12.11425768,0.3,100
spoc-s01-s36-b0A-PC,UNKNOWN,54962195,663.01,PC,160.0665,-8.5107,160.0658525,-8.511082703,11.672,0.04,1544.388969,0.001009055,2.598905228,1.00E-05,1.590799247,0.37942126,1958.759299,156.63235,"[9, 35]",potential multi,4.76941,0.347691,1,0.51236099,0.0152398,2.288009914,1.1988912,672.9284915,3719,64,48.4614794,12.716892,1.73E+32,12.11425768,0.3,100
spoc-s01-s36-b0A-PC,SPOC,54962195,663.03,PC,160.0665,-8.5107,160.0658525,-8.511082703,11.672,0.04,1547.110793,0.002495103,7.102746661,4.71E-05,2.149938035,0.8560137,1430.817092,190.1031,"[9, 35]",candidate 3 in multi-planet system; low SNR,4.76941,0.347691,3,0.51236099,0.0152398,1.949902245,2.0255024,481.308601,3719,64,12.68281017,7.4076014,1.73E+32,12.11425768,0.3,100
spoc-s14-s55-b0H,SPOC,120045750,5981.01,PC,283.9681427,39.06170681,283.9677674,39.06223822,11.8086,0.00735168,2423.517172,0.002638968,7.014245815,8.12E-05,2.655532779,0.452201,1867.317992,142.05846,"[41, 53, 54]",centroid offset only in s54; s53 and s41 on target,4.703,0.00918689,1,0.539524972,0.0158695,2.395478692,0.75464094,499.5920759,3721,157,14.72255438,12.583472,1.92E+32,12.25085768,0.3,100
qlp-s35-faintsearch,QLP,60074373,4817.01,PC,111.0927339,-44.0327384,111.0927171,-44.03270142,14.643,0.007,2276.406959,0.002877,3.190373,0.0012317,2.684,0.294,42550,74.2181,[35],found in faint-star QLP search,4.65,0.01,1,0.6,0.02,12.0669,0.719336,820,3722,157,75.4043,11,2.38E+32,15.08525768,0.3,100
spoc-s01-s36-b0A-CPKP,SPOC,33521996,468.01,KP,88.146797,-19.031654,88.14680786,-19.03162684,13.292,0.018,2220.820401,0.000571,3.32527029,1.83E-06,2.053814396,0.030129604,34741.7763,363.10464,"[6, 32, 33]",HATS-6 b,4.68255,0,1,0.596800983,0.0179141,11.50390062,0.3623092,668.9710175,3724,0,47.331494,94.981865,2.36E+32,13.73425768,0.3,100
qlp-s61-faintsearch,QLP,122798633,6446.01,PC,117.6931742,-2.0778696,117.6932044,-2.077808738,14.122,0.008,2983.882874,0.0022257,4.2240015,0.0008234,1.605,0.178,35494,2744.54,[61],found in faint-star QLP search,4.66,0.01,1,0.59,0.02,11.5236,0.618649,550,3724,157,15.196,16,2.31E+32,14.56425768,0.3,100
spoc-s01-s39-b02-tier1,SPOC,149126400,4569.01,PC,81.02419896,-63.02793458,81.02811554,-63.02885803,15.764,0.00797909,2036.84286,0.004928874,1.225315871,3.39E-05,3.435757953,0.65840364,6006.517507,854.75,"[27, 30, 35, 36, 37, 38, 39]",weak signal; somewhat V-shaped; possibly off-target or SV,4.92832,0.00110036,1,0.297643989,0.0114841,2.382001166,0.4548741,743.1116558,3725,157,72.06714126,7.770379,5.88E+31,16.20625768,0.3,100
spoc-s42-s46-b0A,SPOC,437054764,5176.01,PC,135.0198108,13.27382209,135.0194934,13.2737056,14.6831,0.0081122,2553.71434,0.003132991,20.35507391,0.00225653,3.501893647,0.255799,37499.73435,2102.782,"[44, 45, 46]",first event near start of orbit; also a K2 PC,4.70337,0.0102615,1,0.539092004,0.0168765,10.50799334,0.6571722,350.8176432,3728,157,3.579700632,15.9675665,1.94E+32,15.12535768,0.3,100
spoc-s14-s60-b0A-PC,SPOC,441804533,5711.01,PC,265.4558429,72.21807875,265.4551804,72.21734754,11.506,0.00738242,1753.183872,0.003983727,16.30367498,5.03E-05,3.221931984,0.43106148,1119.962525,72.31151,"[16, 17, 22, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]",potential L1 planet,4.60049,0.0134719,1,0.661190987,0.0212531,2.245038947,0.8283005,406.6782728,3729,157,6.464350314,15.518317,2.92E+32,11.94825768,0.3,100
qlp-s55-tois,SPOC,298428237,4574.01,PC,312.0651543,24.48452943,312.065404,24.48454901,11.7495,0.00732052,2823.526701,0.0021049,0.768988,2.30E-06,0.512,0.211,870,372.616,"[14, 15, 41, 55]",some centroid variation between sectors but not centered on another star,4.69992,0.0093548,1,0.54,0.02,2.01326,1.15468,807,3734,157,70.4453,11,1.95E+32,12.19175768,0.3,100
spoc-s46-b0A,SPOC,82508808,5102.01,PC,123.152237,17.93024733,123.1521655,17.93012276,15.0155,0.00740205,2551.594802,0.00131497,0.4519031,4.21E-05,0.685188817,0.31719396,13312.67833,1503.1611,"[45, 46]",EPIC 211843564.01,4.6228,0.0220427,1,0.633946002,0.0300458,7.40097365,3.192083,1326.569604,3739,157,731.8821751,8.508589,2.71E+32,15.45775768,0.3,100
spoc-s14-s60-b0A-CP,SPOC,321669174,2081.01,CP,264.3030651,53.02570341,264.3022634,53.02556659,11.642,0.00733316,2757.444606,0.0034541,10.50543617,2.15E-05,2.48504009,0.22968265,1320.601625,66.876884,"[14, 17, 20, 21, 24, 25, 26, 40, 41, 47, 50, 52, 53, 54, 57, 58, 60]",TOI-2081 b,4.72382,0.00862431,1,0.515546978,0.0153071,1.947929019,0.3443212,432.3359777,3742,157,8.256700145,18.799452,1.80E+32,12.08425768,0.3,100
spoc-s14-s60-b0A-CP,SPOC,321669174,2081.02,PC,264.3030651,53.02570341,264.3022634,53.02556659,11.642,0.00733316,1686.965949,0.002077138,5.109719686,1.95E-05,1.635497592,0.28414625,540.1814411,63.78863,"[14, 17, 20, 21, 24, 25, 26, 40, 41, 47, 50, 52, 53, 54, 57, 58, 60]",interior to TOI 2081 b; near 2:1 resonance; low SNR; possible offset towards TIC 1400693736,4.72382,0.00862431,2,0.515546978,0.0153071,1.399684821,0.21790844,549.743853,3742,157,21.5855207,8.487083,1.80E+32,12.08425768,0.3,100
qlp-s56-faintsearch,QLP,287863314,6165.01,PC,327.4065757,35.4152568,327.4066928,35.4153102,14.235,0.007,2852.213309,0.0028446,4.3172876,0.000885,2.178,0.263,23720,1622.42,[56],found in faint-star QLP search,4.63,0.01,1,0.63,0.02,9.68709,0.501559,648,3744,157,29.3516,14,2.69E+32,14.67725768,0.3,100
qlp-s52-tois,SPOC,235678745,2095.01,PC,285.6330443,75.41860529,285.6365235,75.41851353,11.0788,0.00732579,2752.69391,0.005565,17.6648787,0.0001405,2.61,0.369,670,1.75452,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 40, 41, 47, 48, 49, 50, 51, 52]",potential multi; small star,4.76979,0.00647892,1,0.46,0.01,1.25125,0.0768311,375,3746,157,3.28445,9,1.44E+32,11.52105768,0.3,100
qlp-s52-tois,SPOC,235678745,2095.02,PC,285.6330443,75.41860529,285.6365235,75.41851353,11.0788,0.00732579,2718.493451,0.0061901,28.1722908,0.0002936,3.47,0.603,820,2.40765,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 40, 41, 47, 48, 49, 50, 51, 52]",second potential L1 candidate in potential multi,4.76979,0.00647892,2,0.46,0.01,1.31656,0.0879947,348,3746,157,2.45492,9,1.44E+32,11.52105768,0.3,100
spoc-s01-s36-b0A-PC,UNKNOWN,439456714,277.01,PC,19.0772,-20.9522,19.0766985,-20.95327725,11.681,0.04,1385.036312,0.000795943,3.993441827,8.31E-06,1.969306473,0.11264866,5801.895716,256.10855,"[3, 30]",,4.7573,0.343554,1,0.523113012,0.015618,4.255664474,0.24329622,587.9229796,3748,64,28.23597205,20.975157,1.86E+32,12.12325768,0.3,100
qlp-s56-tois,SPOC,230129753,4459.01,PC,251.827471,67.29790556,251.8273185,67.29805315,14.3668,0.00755505,2840.458684,0.002928,5.7475343,6.45E-05,1.846,0.229,11890,883.539,"[40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",faint target; small star,4.67041,0.0106476,1,0.58,0.02,6.43097,0.338546,528,3750,157,12.9407,16,2.29E+32,14.80905768,0.3,100
spoc-s01-s39-b0A-PC,UNKNOWN,453260209,1215.01,PC,146.8796,-77.2962,146.876996,-77.296777,9.594,0.04,1570.396765,0.001063564,1.212448431,1.02E-05,0.967846852,0.27075273,405.8147585,49.03328,"[10, 11, 12, 37, 38, 39]",visual binary consisting of 2 M dwarfs; high proper motion star,4.75718,0.346969,1,0.518,0.077,0.879419,0.99191,1092.125297,3751,68,336.2101877,10.846634,1.83E+32,10.03625768,0.3,100
spoc-s14-s60-b0A-PC,SPOC,364074068,1756.01,PC,306.329027,77.63618758,306.3287741,77.63641188,12.0948,0.00730715,1764.851874,0.001185323,2.783011366,8.95E-06,1.740629502,0.55205333,916.2640701,78.660675,"[17, 18, 19, 24, 40, 50, 52, 53, 57, 58, 59, 60]",slightly v-shaped; L1 candidate,4.68309,0.00975251,1,0.56260699,0.0165054,1.710460268,1.8643507,696.3924073,3756,157,55.58237645,13.553055,2.17E+32,12.53705768,0.3,100
qlp-s39-faintsearch,QLP,424196109,5007.01,PC,236.06399,-61.0412362,236.0638704,-61.04136491,13.637,0.007,2384.64412,0.0034489,2.5432595,0.0006815,1.12,0.237,21300,157.543,[39],found in faint-star QLP search; crowded field; slight depth aperture,4.61,0.01,1,0.66,0.02,10.6224,0.958412,615,3757,157,23.828,10,2.99E+32,14.07925768,0.3,100
spoc-s14-s60-b0A-PC,SPOC,232635922,1745.01,PC,281.1371461,54.95011124,281.13629,54.94989913,12.7963,0.00751927,2653.478364,0.0045755,5.984871017,1.69E-05,2.269561406,0.20378387,2583.778826,195.18314,"[14, 15, 16, 18, 19, 22, 25, 26, 40, 41, 48, 49, 52, 53, 55, 56, 57, 58, 59, 60]",slightly v-shaped; very close neighboring TIC 1717744910; possible depth aperture correlation; ~500 ppm secondary,4.80439,0.00478617,1,0.424468011,0.0126086,3.444350253,4.0503216,519,3759,157,13.81967167,16.766644,1.24E+32,13.23855768,0.3,100
spoc-s14-s55-b02,SPOC,48353358,6004.01,KP,283.6283304,48.39101769,283.6282602,48.39080812,12.1042,0.006,1685.778397,0.002167726,9.8786838,3.18E-05,1.885204172,0.25458682,1728.745382,162.31392,"[14, 26, 40, 41, 53, 54, 55]",Kepler-1651 b,4.86726,0.135649,1,0.460619003,0.0505553,2.108318856,0.3531921,411.7798487,3759.27,115.535,6.794873259,9.8170185,1.46E+32,12.54645768,0.3,100
spoc-s14-s55-b0H,SPOC,196066560,6077.01,PC,314.9137188,40.70588531,314.9138795,40.70601246,12.3475,0.00728246,1713.480434,0.001835416,2.211110421,1.16E-05,2.106027909,0.4376893,1956.011683,200.30565,"[15, 55]",some ramp-like transits; possible centroid offset,4.60411,0.0116478,1,0.656735003,0.019274,2.994458537,1.1183779,796.3320731,3761,157,95.03811912,11.161335,2.98E+32,12.78975768,0.3,100
spoc-s01-s36-b0A-PC,QLP,12421862,198.01,PC,2.2682,-27.1221,2.271508707,-27.12174522,9.853,0.04,1356.3672,0.001527935,10.21501679,5.24E-05,1.968306554,0.38846454,994.1089045,86.780266,"[2, 29]",period updated to half alerted period (~10.2 days) from spoc-s01-s36 multisector,4.83739,0.119367,1,0.447335988,0.0133167,1.477775413,0.58433956,420.9334696,3763,65,7.419503395,11.117827,1.38E+32,10.29525768,0.3,100
spoc-s01-s36-b0A-PC,UNKNOWN,151825527,672.01,PC,167.9904,-39.3278,167.9908627,-39.32811509,11.561,0.045,1546.479982,0.000254145,3.633573539,3.27E-06,1.78090767,0.053174198,8659.568993,142.72823,"[9, 10, 36]",,4.75169,0.342271,1,0.544067979,0.016274,5.09241464,0.23408793,613.4759993,3765,65,33.47428495,51.374588,2.05E+32,12.00325768,0.3,100
qlp-s62-ffi,SPOC/QLP,359271092,741.01,PC,140.4067,-60.282,140.3993759,-60.2811692,7.675,0.032,3006.414171,0.0048554,7.5768334,3.52E-05,2.073,0.83,289,32.1517,"[9, 10, 36, 37, 62]",Crowded field. High proper motion star.,4.75957,0.060823,1,0.53,0.02,0.867887,0.066986,629,3766,95,26.1371,12,1.95E+32,8.117257675,0.3,100
qlp-s42-faintsearch,QLP,33397739,5292.01,PC,344.222401,-8.1197177,344.2223631,-8.119747258,14.895,0.008,2469.424307,0.0029985,2.0231137,0.0006929,1.133,0.304,44030,913.133,[42],found in faint-star QLP search,4.66,0.01,1,0.59,0.02,13.4378,2.00141,680,3767,157,35.677,11,2.42E+32,15.33725768,0.3,100
spoc-s42-s46-b02,SPOC,387974148,5551.01,PC,87.12573766,18.1795249,87.12561758,18.17952789,12.4507,0.00746283,2474.72141,0.003549489,2.405410028,0.000203289,1.608778985,0.8685588,1279.202344,189.45142,"[43, 44, 45]",low SNR,4.69159,0.00963539,1,0.552721977,0.0163428,2.004526068,2.801834,728.867004,3768,157,66.69820742,7.3953786,2.12E+32,12.89295768,0.3,100
qlp-s53-faintsearch,QLP,264468702,5778.01,PC,325.7363596,83.3116812,325.737466,83.31172511,14.03,0.007,2762.212892,0.0019903,6.0962241,5.94E-05,1.866,0.2,21520,33.3127,"[52, 53]",found in faint-star QLP search,4.65,0.01,1,0.6,0.02,9.0747,0.468899,508,3769,157,11.1142,16,2.51E+32,14.47225768,0.3,100
qlp-s54-faintsearch,QLP,114947483,5859.01,PC,285.3618101,29.0213983,285.3617048,29.02153592,13.134,0.007,2794.556309,0.0015386,3.3787501,1.10E-05,1.837,0.207,9480,623.343,"[14, 40, 53, 54]",found in faint-star QLP search,4.63,0.01,1,0.63,0.02,6.36345,1.73476,698,3769,157,39.4252,19,2.76E+32,13.57625768,0.3,100
qlp-s49-faintsearch,QLP,119585136,5634.01,PC,175.6439186,20.9654029,175.6436366,20.96529213,14.984,0.008,2663.422584,0.0042523,2.2054776,0.0007857,1.633,0.285,28280,146.842,[49],found in faint-star QLP search,4.71,0.01,1,0.53,0.02,9.6722,0.790385,788,3770,157,64.0804,10,1.96E+32,15.42625768,0.3,100
spoc-s01-s36-b0A-PC,SPOC,201177276,2379.01,PC,358.0919282,-53.04316347,358.0920465,-53.04315598,13.6521,0.00730804,2062.464151,0.00076283,5.469416429,0.000141528,1.821850128,0.07007301,31871.44416,776.69434,"[28, 29]",V-shaped; potentially grazing incidence,4.61871,0.0116763,1,0.638902009,0.0190863,11.45330981,0.48262885,584.2463486,3770,157,27.53626477,32.184196,2.84E+32,14.09435768,0.3,100
qlp-s41-faintsearch,QLP,298049015,5199.01,PC,185.3363801,81.6476688,185.3362684,81.64768235,14.965,0.008,2438.721301,0.0047744,3.9131371,0.0006544,1.846,0.355,37860,236.567,"[40, 41]",found in faint-star QLP search,4.64,0.01,1,0.62,0.02,12.4444,1.12235,625,3773,157,25.4932,10,2.69E+32,15.40725768,0.3,100
spoc-s01s13-b02,SPOC,327017634,1202.01,PC,210.427358,-63.852654,210.4273545,-63.85264484,8.292,0.018,1614.434411,0.002147,,,2.726775,0.502544,878.134108,105.351654,"[12, 11]",Single transit,4.438,0,1,0.577983,0.089121,1.710706,1.250816,448.0162269,3773,163,9.521294068,7.8378444,2.33E+32,8.734257675,0.3,100
qlp-s08-b03b,QLP,119081096,716.01,PC,136.2385,-18.5025,136.2389124,-18.50267445,12.382,0.04,1518.10991,0.00404,0.83707,0.00029,2.497,0.567,2745.5,16.2657,[8],potentially planet on a neighboring star; centroid shift in y; long transit duration; depth increase with larger aperture,4.72,0.33,1,0.52,0.04,2.98849,0.323354,1998,3776,152.8,2645.93,17,1.90E+32,12.82425768,0.3,100
