Parameter Source Pipeline,Detection Pipeline(s),TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Luminosity,AB_Mag,Weight,Distance (pc)
qlp-s64-faintsearch,QLP,243550555,6571.01,PC,206.3945376,-42.8262517,206.3946086,-42.82630154,10.954,0.006,3062.22621,0.0052703,11.5379235,5.95E-05,3.661,0.673,1405,106.878,"[11, 38, 64]",found in faint-star QLP search,4.45,0.08,1,1.01,0.05,3.827,0.255598,859,5835,132.7,90.3933,13,4.08E+33,11.39625768,0.3,100
qlp-s36-tois,QLP,23435610,3000.01,PC,168.1961855,-32.8526679,168.1961962,-32.8526934,12.796,0.006,2296.646475,0.0006014,5.20807,6.70E-06,3.249,0.062,29630,4.96481,"[9, 36]",found in faint-star QLP search,4.51,0.07,1,0.94,0.04,16.3192,0.792529,1097,5836.5,111.3,240.959,88,3.54E+33,13.23825768,0.3,100
spoc-s01s06-b0H,SPOC,219239945,701.01,PC,64.521351,-53.801443,64.52165038,-53.80127019,10.917,0.018,1389.366552,0.005664,13.697384,0.002108,4.783848,0.424539,1061.94658,85.35073,"[5, 4, 3]",transits in close proximity to some but not all momentum dumps,4.37713,0.321497,1,1.10089,0.16444,4.211945,0.685604,800.1911623,5837,190,96.89380342,12.751473,4.85E+33,11.35925768,0.3,100
qlp-s60-faintsearch,QLP,88460991,6392.01,PC,105.5238069,65.2868096,105.5237953,65.28668354,12.709,0.007,2961.921815,0.0024518,6.9603975,2.65E-05,3.734,0.934,6218,547.133,"[20, 47, 60]",found in faint-star QLP search,4.2,0.08,1,1.36,0.07,11.906,0.78331,1161,5837,127.8,302.518,25,7.40E+33,13.15125768,0.3,100
qlp-s53-tois,QLP,142739544,3851.01,PC,150.3805877,75.2119823,150.3804032,75.21189749,11.177,0.007,2762.517731,0.0021827,3.383466,1.10E-05,2.746,0.33,1400,63.3101,"[14, 20, 21, 40, 41, 53]",found in faint-star QLP search,4.28,0.08,1,1.23,0.06,4.68953,0.256576,1355,5838,126.8,559.625,25,6.06E+33,11.61925768,0.3,100
qlp-s38-faintsearch,QLP,241638905,4937.01,PC,207.6696359,-48.807645,207.6696105,-48.80765422,12.486,0.006,2358.244091,0.0105646,5.0414219,0.0001197,6.675,0.733,2340,5.81094,"[11, 38]",found in faint-star QLP search,3.66,0.09,1,2.5,0.19,11.6667,1.11788,1741,5838,129.4,1527.97,11,2.50E+34,12.92825768,0.3,100
qlp-s56-faintsearch,QLP,51637609,6170.01,PC,336.4643626,15.8567419,336.4643016,15.8566392,12.109,0.008,2849.075692,0.0009785,2.709631,0.0002372,3.282,0.122,10819,229.638,[56],found in faint-star QLP search,4.12,0.08,1,1.47,0.09,14.9972,0.920548,1582,5838,130.4,1041.16,12,8.66E+33,12.55125768,0.3,100
qlp-s53-faintsearch,QLP,459836041,5771.01,PC,63.8231571,86.1196594,63.82342093,86.11962465,13.038,0.008,2758.243282,0.0039231,6.6867154,5.07E-05,2.945,0.409,3870,6.80199,"[19, 20, 25, 40, 47, 52, 53]",found in faint-star QLP search,3.95,,1,1.8,,11.1995,,1000,5839,122,166.048,15,1.30E+34,13.48025768,0.3,100
qlp-s48-faintsearch,QLP,224299081,5619.01,PC,185.5049995,55.5595165,185.5045521,55.55954805,10.713,0.006,2626.901517,0.0028379,37.9984529,0.000182,5.928,0.459,3050,1.54432,"[15, 21, 22, 48]",found in faint-star QLP search,4.18,0.07,1,1.38,0.06,7.69928,0.383306,588,5839.5,105.8,19.8821,10,7.64E+33,11.15525768,0.3,100
qlp-s39-faintsearch,QLP,282485660,5005.01,PC,238.1082432,-48.1449937,238.108194,-48.1451,11.13,0.006,2377.175525,0.0023907,6.3084728,3.53E-05,2.871,0.344,3690,4.3484,"[12, 39]",found in faint-star QLP search,4.48,0.08,1,0.97,0.05,6.00429,0.358546,1012,5840,125,174.188,22,3.77E+33,11.57225768,0.3,100
